単語,意味,補足
deficient,不足した、不十分な,"His body was deficient in vitamin C, and caused some complications."
density,密度、霧などの濃さ,
ethics,倫理学、倫理、道徳,
ease,和らげる,
ordinary,いつもの,
utensil,家庭用品,
red tape,お役所仕事、形式主義、非効率,昔、公文書を赤いひもで結んだことから
compliant,従う、従順な,
molten,溶けた,
informal,略式の、非公式の,
fission,分裂,
certificate,証明書,
forge,鍛造する、鍛冶場,
dynamics,力学、動力学、原動力,
evolution,進化、発展,
duplicate,複写する、写しの、複写,
barter,物々交換、物々交換する,
circular,円形の、循環の,
eliminate,取り除く,
graze,草を食べる,
haze,かすみ、もや,
void,無効の,
vendor,物売り、行商人、自動販売機,
grasp,理解する、つかむ,
unite,統合する,
dough,パン生地、こね粉,
panorama,全景、パノラマ,
plain,平地、簡素な、わかりやすい,
precision,精密な、高精度の、正確、精密,
apt,〜しがちである、〜する傾向がある,
liable,〜しがちな、責めを負うべき,
peninsula,半島,
accord,一致、調和、協定、与える、〜と一致する,
Neolithic,新石器時代,
breed,品種、種類、子を産む、品種改良する、育てる,
cordial,心からの,
clash,衝突する、衝突,
chunk,塊,
folklore,民間伝承、民俗学,
kerosene,石油,
timber,木材,
perfume,香水,
convey,輸送する、運ぶ,
subtract,控除する、引く,
idiom,慣用語句、熟語、言語、作風,
court,中庭、テニスのコート、法廷,
aurora,オーロラ,
insulate,遮断する,
keen,熱心な、鋭い、辛辣な,
squeeze,絞る、圧搾する,
superficial,うわべだけの、表面上の,
tidal wave,津波、高潮,
mammoth,マンモス（巨像）、巨大な,
quarrel,口げんか、口げんかする,
assemble,集う、集める、組み立てる,
diverse,さまざまの、種々の,
quote,引用する,
evaporate,蒸発する、蒸発させる,
beforehand,前もって,
swear,誓う,
glow,光を放つ、白熱する、真っ赤に燃える、白熱,
recitation,朗読,
objective,客観的な、目的格の,
explore,探検する,
vast,広大な,
durable,耐久性のある、丈夫な,
equator,赤道,
bite,かむ,
amplify,増幅する、拡大する,
zenith,天頂、頂点,
calculate,計算する,
confidential,内密の、守秘義務のある,
restrain,制止する,
inherent,生来の、固有の、本来の,
pound,ポンド（英国の通貨、重さの単位）、どんどんたたく,
drizzle,霧雨、霧雨が降る,
critic,批評家,
immunity,免疫,
pump,ポンプ、ポンプで水をくむ,
debt,負債,
obscure,はっきりしない,
exhausted,疲れ切った,
spouse,配偶者,
assess,査定する、評価する,
condense,濃縮する、要約する,
geometry,幾何学,
admire,賞賛する,
charge,請求する、料金,
undermine,浸食する、傷つける、衰えさせる、下を掘る,
equivalent,同等の,
assure,補償する、確かに〜だという、請け合う,
pristine,損なわれていない、原始の、汚れていない,
infamous,悪名高い、不名誉な,
possess,所有する,
uphold,支持する,
resolute,断固とした、固く決心した,
document,文書、記録する、立証する,
Venus,金星,
scratch,ひっかく、ひっかき傷,
file,ファイルにとじる、提出する、ファイル、綴じ込み,
anatomy,解剖学,
glorious,素晴らしい、栄光ある,
crater,噴火口、クレーター,
nourish,養う、肥料をやる,
adjacent,隣接した,
comfort,元気づける、慰める、慰め、快適さ,
reflect,反射する、熟考する,
spectacular,壮観な,
literally,まさに、文字通りに,
merit,価値、長所、メリット,
implicate,関係させる、巻き込む、含意する,
fade,色あせる、しぼむ,
politic,思慮深い、賢明な、適切な、政略的な、術策にたけた,
autobiograhy,自叙伝,
shabby,みすぼらしい,
ban,禁止する,
starch,でんぷん（質）、（洗濯用）のり,
optimisit,楽天家,
contract,契約、契約する、引き締める,
execute,実行する、処刑する,
prelude,前触れ、前奏曲、前兆となる、導入する,
tension,緊張,
Saturn,土星,
consume,消費する,
fertilizer,肥料,
subsistence,生存,
rumor,うわさ,
choreograph,（ダンスなどの）振り付けをする,
bias,偏向、バイアス,
trigger,（重大事を）引き起こす、〜のきっかけとなる、引き金,
breeze,そよ風、軽やかに動く,
sacred,神聖な,
conquer,征服する,
suspect,〜のような気がする、怪しいと思う、容疑者,
characteristic,特徴的な、特有の、特徴,
release,放す、免除する、解放、釈放、免除,
linguistic,言語上の、言語学の,
circulation,循環、発行部数,
bond,接着剤、公社債,
bulletin,掲示,
basin,盆地、洗面器,
advocate,唱導する、主張者,
vivid,生き生きとした、はつらつとした,
superstition,迷信,
complicate,複雑にさせる,
rage,激怒、激怒する,
stimulus,刺激,
starve,餓死する,
indignant,憤慨した、怒った,
verify,立証する、証明する,
confess,白状する,
temper,気質,
instinct,本能,
pollination,（植物の）受粉,
bud,芽、つぼみ、発芽する,
fluctuate,不規則に変動する,
